School DBN,Type of School,Article.28,Article.28.Name,Article.31.Clininc.Onsite,Article.31.Provider,Funded.Article.31.Clinic,Community.School.w..MH.Funding,SRT,Promise.Zone,X100.Schools.Project,School.MH.Supervisor,School.MH.Consultant,School.Name,Address,lon,lat,geoAddress
11X096,Consultant Program,,.,,,,,,,,Qiana Outlaw,Candice Overton,P.S. 096 Richard Rodgers,"2385 OLINVILLE AVENUE,BRONX,NY,10467",-73.8690837,40.860985,"2385 olinville ave, the bronx, ny 10467, usa"
11X097,Consultant Program,,.,,,,,,,,Qiana Outlaw,Candice Overton,P.S. 097 Bronx,"1375 MACE AVENUE,BRONX,NY,10469",-73.8469469,40.8630715,"1375 mace ave, the bronx, ny 10469, usa"
11X103,Consultant Program,,.,,,,,,,,Qiana Outlaw,Natalia Gomez,P.S. 211,"1919 PROSPECT AVENUE,BRONX,NY,10457",-73.8903279,40.8437691,"1919 prospect ave, the bronx, ny 10457, usa"
11X106,Consultant Program,,.,,,,,,,,Qiana Outlaw,Candice Overton,P.S. 106 Parkchester,"1514 OLMSTEAD AVENUE,BRONX,NY,10462",-73.8550508,40.8369134,"1514 olmstead ave, the bronx, ny 10462, usa"
11X108,Consultant Program,,.,,,,,,,,Qiana Outlaw,Candice Overton,School of Performing Arts,"977 FOX STREET,BRONX,NY,10459",-73.8940382,40.8220835,"977 fox st, the bronx, ny 10459, usa"
11X111,Consultant Program,,.,,,,,,,,Qiana Outlaw,Qiana Outlaw,Mott Hall V,"1551 EAST 172ND STREET,BRONX,NY,10472",-73.8774638,40.8316935,"1551 e 172nd st, the bronx, ny 10472, usa"
11X112,Community School,,.,X,Astor,X,Former Renewal,,,,,,P.S. 112 Bronxwood,"1925 SCHIEFFELIN AVENUE,BRONX,NY,10466",-73.8439899,40.8847649,"1925 schieffelin ave, the bronx, ny 10466, usa"
11X121,Consultant Program,,.,,,,,,,,Qiana Outlaw,Candice Overton,"Metropolitan High School, The","1180 REV. J.A. POLITE AVE.,BRONX,NY,10459",-73.897018,40.827733,"1180 rev james a polite ave, the bronx, ny 10459, usa"
11X127,Consultant Program,,.,,,,,X,,,Qiana Outlaw,Natalia Gomez,J.H.S. 127 The Castle Hill,"1560 PURDY STREET,BRONX,NY,10462",-73.8529844,40.8384278,"1560 purdy st, the bronx, ny 10462, usa"
11X144,Consultant Program,,.,,,,,,,,Qiana Outlaw,Melissa Santiago,East Bronx Academy for the Future,"1716 SOUTHERN BOULEVARD,BRONX,NY,10460",-73.8877096,40.8368071,"1716 southern blvd, the bronx, ny 10460, usa"
11X153,Consultant Program,,.,,,,,,,,Qiana Outlaw,Quan-Asia Bain-James,Fannie Lou Hamer Middle School,"1001 JENNINGS STREET,BRONX,NY,10460",-73.8866072,40.8312555,"1001 jennings st, the bronx, ny 10460, usa"
11X160,Consultant Program,,.,,,,,,,,Qiana Outlaw,Quan-Asia Bain-James,P.S. 160 Walt Disney,"4140 HUTCHINSON RIVER PKWAY EA,BRONX,NY,10475",-73.8239864,40.8643078,"4140 hutchinson river pkwy e, the bronx, ny 10475, usa"
11X169,Consultant Program,,.,,,,,,,,Qiana Outlaw,Candice Overton,Baychester Academy,"3500 EDSON AVENUE,BRONX,NY,10466",-73.8393861,40.8813443,"3500 edson ave, the bronx, ny 10466, usa"
11X175,Consultant Program,,.,,,,,,,,Qiana Outlaw,Candice Overton,P.S. 175 City Island,"200 CITY ISLAND AVENUE,BRONX,NY,10464",-73.7848326,40.8437411,"200 city island ave, the bronx, ny 10464, usa"
11X178,Consultant Program,,.,,,,,,,,Qiana Outlaw,Candice Overton,Urban Scholars Community School,"1180 TINTON AVENUE,BRONX,NY,10456",-73.9004516,40.8287148,"1180 tinton ave, the bronx, ny 10456, usa"
11X180,Consultant Program,,.,,,,,,,,Qiana Outlaw,Quan-Asia Bain-James,M.S. 180 Dr. Daniel Hale Williams,"700 BAYCHESTER AVENUE,BRONX,NY,10475",-73.8321785,40.8732041,"700 baychester ave, the bronx, ny 10475, usa"
11X181,Consultant Program,,.,,,,,,,,Qiana Outlaw,Candice Overton,Bronx Career and College Preparatory High School,"800 HOME STREET,BRONX,NY,10456",-73.9008013,40.8273875,"800 home st, the bronx, ny 10456, usa"
11X189,Consultant Program,,.,,,,,,,,Qiana Outlaw,Quan-Asia Bain-James,Cornerstone Academy for Social Action,"3441 STEENWICK AVENUE,BRONX,NY,10475",-73.830787,40.8831455,"3441 steenwick ave, the bronx, ny 10475, usa"
11X287,Community School,X,Montefiore Medical Center,X,Astor,X,Other,,,,,,North Bronx School of Empowerment,"3710 BARNES AVENUE,BRONX,NY,10467",-73.8605855,40.8808122,"3710 barnes ave, the bronx, ny 10467, usa"
11X326,Consultant Program,,.,,,,,,,,Qiana Outlaw,Quan-Asia Bain-James,Bronx Green Middle School,"2441 WALLACE AVENUE,BRONX,NY,10467",-73.8649701,40.8624813,"2441 wallace ave, the bronx, ny 10467, usa"
11X370,Community School,X,Montefiore Medical Center,X,Astor,X,Former Renewal,,,,,,Leaders of Tomorrow,"3710 BARNES AVENUE,BRONX,NY,10467",-73.8605855,40.8808122,"3710 barnes ave, the bronx, ny 10467, usa"
